_id,timestamp,device_id,battery_start,battery_end,double_end_timestamp
386,1500069514315,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500069530617
387,1500069531325,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500069532216
388,1500069535748,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500069542966
389,1500069543763,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500069544679
572,1500071036181,815717e9-cd15-4d4e-b35c-a0206bc0aa24,59,37,1500090693567
390,1500071051633,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071052579
391,1500071054510,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071054567
392,1500071055658,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071057371
393,1500071058412,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071089688
394,1500071262102,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071263084
395,1500071264104,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071299076
396,1500071299875,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071300790
397,1500071302439,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071304714
398,1500071306474,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071309647
399,1500071310695,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071313118
400,1500071316335,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071318761
401,1500071475097,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071476397
402,1500071477900,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071497925
403,1500071498607,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071499548
404,1500071500546,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500071501848
405,1500072530894,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500072532245
406,1500072532875,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500072534139
407,1500072534816,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500072537961
408,1500072661142,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500072662389
409,1500072663177,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500072664400
410,1500073372432,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500073374226
411,1500073376049,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500073378432
412,1500073379170,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500073380910
413,1500074497886,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074499214
414,1500074499848,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074502184
415,1500074502875,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074504149
416,1500074505474,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074506135
417,1500074506857,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074508028
418,1500074508786,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074509688
419,1500074510720,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074511649
420,1500074512664,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074513647
421,1500074514681,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074515659
422,1500074516628,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074517586
423,1500074519323,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074520380
424,1500074521421,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074523534
425,1500074524170,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074525217
426,1500074526129,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074527118
427,1500074528186,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074529104
428,1500074530107,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074532217
429,1500074533835,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074535746
