_id,timestamp,device_id,package_name,application_name,application_version,error_short,error_long,error_condition,is_system_app
51,1500550911946,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"System UI",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
52,1500550912445,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
53,1500551703442,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.kt.wificm,"Android system",374,java.lang.NullPointerException,0,1,1
54,1500553421620,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
129,1500567541841,08da45e3-bc56-4425-bad2-55d191676b79,com.facebook.orca,"Android System",64199900,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,0
55,1500596632632,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
56,1500596635758,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,Settings,23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
57,1500596880611,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=com.samsung.android.net.wifi.SHOW_NOTI_MESSAGE flg=0x10 cmp=com.android.settings/.wifi.WifiStatusReceiver (has extras) }",0,2,1
130,1500662010487,08da45e3-bc56-4425-bad2-55d191676b79,com.whatsapp,"Android System",451900,"Native crash",0,1,0
88,1500671593299,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because the focused window has not finished processing the input events that were previously delivered to it.)",0,2,0
131,1500680602117,08da45e3-bc56-4425-bad2-55d191676b79,com.facebook.katana,"Android System",64191600,"ANR Executing service com.facebook.katana/com.facebook.fbservice.service.DefaultBlueService",0,2,0
170,1500685739238,d58c3cb9-2543-4258-8695-ac3e310ba3ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.net.wifi.STATE_CHANGE flg=0x4000010 cmp=com.android.settings/.nearby.MountReceiver (has extras) }",0,2,1
132,1500694375309,08da45e3-bc56-4425-bad2-55d191676b79,com.whatsapp,"Android System",451900,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_ON flg=0x50000010 }",0,2,0
67,1500699231773,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.spotify.music,"Sistema Android",20972300,"ANR executing service com.spotify.music/com.spotify.mobile.android.service.session.SessionStateService",0,2,0
68,1500699233388,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.spotify.music,"Interface do sistema",20972300,"ANR executing service com.spotify.music/com.spotify.mobile.android.service.session.SessionStateService",0,2,0
69,1500699237009,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.spotify.music,"Interface do sistema",20972300,"ANR executing service com.spotify.music/com.spotify.mobile.android.service.session.SessionStateService",0,2,0
70,1500699239249,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.spotify.music,"Sistema Android",20972300,"ANR executing service com.spotify.music/com.spotify.mobile.android.service.session.SessionStateService",0,2,0
71,1500706129947,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451818,"ANR Broadcast of Intent { act=com.google.android.c2dm.intent.RECEIVE flg=0x10000010 pkg=com.whatsapp cmp=com.whatsapp/.gcm.GcmReceiver (has extras) }",0,2,0
72,1500745396905,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451818,"ANR Input dispatching timed out (Waiting to send key event because the focused window has not finished processing all of the input events that were previously delivered to it.  Outbound queue length: 0.  Wait queue length: 1.)",0,2,0
89,1500750439109,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_ON flg=0x50000010 }",0,2,0
73,1500755372472,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.android.chrome,"Sistema Android",307113000,"ANR executing service com.android.chrome/org.chromium.chrome.browser.invalidation.ChromeInvalidationClientService",0,2,1
133,1500756929629,08da45e3-bc56-4425-bad2-55d191676b79,com.whatsapp,"Android System",451900,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_ON flg=0x50000010 }",0,2,0
74,1500807598212,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.facebook.katana,"Sistema Android",64682900,"ANR Input dispatching timed out (Waiting to send non-key event because the touched window has not finished processing certain input events that were delivered to it over 500.0ms ago.  Wait queue length: 37.  Wait queue head age: 5519.2ms.)",0,2,0
75,1500807612826,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.facebook.katana,"Sistema Android",64682900,"ANR Input dispatching timed out (Waiting to send non-key event because the touched window has not finished processing certain input events that were delivered to it over 500.0ms ago.  Wait queue length: 36.  Wait queue head age: 5506.5ms.)",0,2,0
76,1500822712792,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.aware.plugin.device_usage,"Sistema Android",708,android.database.sqlite.SQLiteDiskIOException,0,1,0
134,1500827211026,08da45e3-bc56-4425-bad2-55d191676b79,com.ubercab,"Android System",34677,"ANR Input dispatching timed out (Waiting because the touched window has not finished processing the input events that were previously delivered to it.)",0,2,0
135,1500843250911,08da45e3-bc56-4425-bad2-55d191676b79,com.whatsapp,"Android System",451900,"Native crash",0,1,0
136,1500843251983,08da45e3-bc56-4425-bad2-55d191676b79,com.whatsapp,"TouchWiz home",451900,"Native crash",0,1,0
77,1500852450417,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451818,"ANR Input dispatching timed out (Waiting to send non-key event because the touched window has not finished processing certain input events that were delivered to it over 500.0ms ago.  Wait queue length: 19.  Wait queue head age: 5266.1ms.)",0,2,0
90,1500932856522,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.)",0,2,0
78,1500943732265,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451900,"ANR Broadcast of Intent { act=com.google.android.c2dm.intent.RECEIVE flg=0x10000010 pkg=com.whatsapp cmp=com.whatsapp/.gcm.GcmReceiver (has extras) }",0,2,0
137,1501011532234,08da45e3-bc56-4425-bad2-55d191676b79,com.instagram.android,"System UI",65303600,"ANR Executing service com.instagram.android/com.instagram.creation.pendingmedia.service.uploadretrypolicy.UploadRetryService",0,2,0
138,1501011534245,08da45e3-bc56-4425-bad2-55d191676b79,com.instagram.android,com.android.keyguard,65303600,"ANR Executing service com.instagram.android/com.instagram.creation.pendingmedia.service.uploadretrypolicy.UploadRetryService",0,2,0
139,1501011534816,08da45e3-bc56-4425-bad2-55d191676b79,com.instagram.android,"System UI",65303600,"ANR Executing service com.instagram.android/com.instagram.creation.pendingmedia.service.uploadretrypolicy.UploadRetryService",0,2,0
140,1501011554257,08da45e3-bc56-4425-bad2-55d191676b79,com.instagram.android,com.android.keyguard,65303600,"ANR Executing service com.instagram.android/com.instagram.creation.pendingmedia.service.uploadretrypolicy.UploadRetryService",0,2,0
141,1501011564309,08da45e3-bc56-4425-bad2-55d191676b79,com.instagram.android,"System UI",65303600,"ANR Executing service com.instagram.android/com.instagram.creation.pendingmedia.service.uploadretrypolicy.UploadRetryService",0,2,0
142,1501011884457,08da45e3-bc56-4425-bad2-55d191676b79,com.instagram.android,com.android.keyguard,65303600,"ANR Executing service com.instagram.android/com.instagram.creation.pendingmedia.service.uploadretrypolicy.UploadRetryService",0,2,0
143,1501011887437,08da45e3-bc56-4425-bad2-55d191676b79,com.instagram.android,"System UI",65303600,"ANR Executing service com.instagram.android/com.instagram.creation.pendingmedia.service.uploadretrypolicy.UploadRetryService",0,2,0
144,1501011888803,08da45e3-bc56-4425-bad2-55d191676b79,com.instagram.android,com.android.keyguard,65303600,"ANR Executing service com.instagram.android/com.instagram.creation.pendingmedia.service.uploadretrypolicy.UploadRetryService",0,2,0
145,1501011891379,08da45e3-bc56-4425-bad2-55d191676b79,com.instagram.android,"Android System",65303600,"ANR Executing service com.instagram.android/com.instagram.creation.pendingmedia.service.uploadretrypolicy.UploadRetryService",0,2,0
91,1501016864800,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because the touched window has not finished processing the input events that were previously delivered to it.)",0,2,0
146,1501039098815,08da45e3-bc56-4425-bad2-55d191676b79,com.facebook.katana,"Android System",64191600,"ANR Input dispatching timed out (Waiting because the touched window has not finished processing the input events that were previously delivered to it.)",0,2,0
147,1501084541762,08da45e3-bc56-4425-bad2-55d191676b79,com.facebook.katana,Facebook,64191600,"ANR Executing service com.facebook.katana/com.facebook.fbservice.service.DefaultBlueService",0,2,0
148,1501109904516,08da45e3-bc56-4425-bad2-55d191676b79,com.whatsapp,"TouchWiz home",451900,"Native crash",0,1,0
92,1501122840172,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Broadcast of Intent { act=com.google.android.c2dm.intent.RECEIVE flg=0x10000010 pkg=com.whatsapp cmp=com.whatsapp/.gcm.GcmReceiver (has extras) }",0,2,0
171,1501172925261,d58c3cb9-2543-4258-8695-ac3e310ba3ac,com.tenthbit.juliet,"Android system",82,"ANR executing service com.tenthbit.juliet/.core.PollingService",0,2,0
149,1501176818033,08da45e3-bc56-4425-bad2-55d191676b79,com.facebook.katana,"Android System",64191600,"ANR Executing service com.facebook.katana/com.facebook.attribution.AttributionIdService",0,2,0
150,1501177490662,08da45e3-bc56-4425-bad2-55d191676b79,com.facebook.katana,com.android.keyguard,64191600,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,0
151,1501177692573,08da45e3-bc56-4425-bad2-55d191676b79,com.facebook.katana,"System UI",64191600,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,0
